Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
code-quality-analyzer-backend,code.quality.analyzer.controller,CommitsAnalysisControllerTest,setUp,7,1,0,48,0,,
code-quality-analyzer-backend,code.quality.analyzer.controller,CommitsAnalysisControllerTest,testGetOneCommitAnalysis,5,1,0,57,1,,
code-quality-analyzer-backend,code.quality.analyzer.controller,CommitsAnalysisControllerTest,testGetTrendAnalysis,6,1,0,64,1,,
code-quality-analyzer-backend,code.quality.analyzer.controller,CommitsAnalysisControllerTest,testGetOneCommitAnalysisForRemoteBranch,6,1,0,72,1,,
code-quality-analyzer-backend,code.quality.analyzer.controller,CommitsAnalysisControllerTest,testGetTrendAnalysisForRemoteBranch,7,1,0,80,1,,
code-quality-analyzer-backend,code.quality.analyzer.controller,CommitsAnalysisControllerTest,testGetHotspotAnalysis,5,1,0,89,1,,
code-quality-analyzer-backend,code.quality.analyzer.controller,CommitsAnalysisControllerTest,callServiceAndTest,6,1,1,96,0,,
code-quality-analyzer-backend,code.quality.analyzer.controller,CommitsAnalysisController,getOneCommitAnalysis,6,1,1,22,0,,
code-quality-analyzer-backend,code.quality.analyzer.controller,CommitsAnalysisController,getTrendAnalysis,6,1,1,30,0,,
code-quality-analyzer-backend,code.quality.analyzer.controller,CommitsAnalysisController,getHotspotAnalysis,6,1,1,38,0,,
code-quality-analyzer-backend,code.quality.analyzer,CodeQualityAnalyzerBackendApplicationTests,main,3,1,0,9,1,,
code-quality-analyzer-backend,code.quality.analyzer,CodeQualityAnalyzerBackendApplication,main,3,1,1,13,0,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,setUp,8,1,0,60,0,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,testGenerateOneCommitReport,5,1,0,70,1,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,testGenerateOneCommitReportForRemoteBranch,6,1,0,77,1,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,testGenerateOneCommitReportException,7,1,0,85,1,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,testCallAnalysisServiceOneCommit,10,1,0,94,1,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,testGenerateTrendAnalysisReport,7,1,0,111,1,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,testGenerateTrendAnalysisReportForRemoteBranch,7,1,0,120,1,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,testGenerateTrendAnalysisReportForAllCommits,8,1,0,129,1,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,testGenerateTrendAnalysisReportForZeroCommits,3,1,0,139,1,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,testCallAnalysisServiceTrend,10,1,0,144,1,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,testGenerateHotspotReport,5,1,0,161,1,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,testCallAnalysisServiceHotspot,10,1,0,168,1,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImpl,cloneRepository,6,1,1,42,0,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImpl,generateOneCommitReport,14,2,3,50,0,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImpl,callAnalysisServiceOneCommit,9,1,1,66,0,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImpl,generateTrendAnalysisReport,22,3,3,80,0,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImpl,callAnalysisServiceTrend,7,1,1,105,0,,
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImpl,generateHotspotReport,7,1,2,115,0,,
