Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
code-quality-analyzer-backend,code.quality.analyzer.controller,CommitsAnalysisControllerTest,testGetOneCommitAnalysis,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
code-quality-analyzer-backend,code.quality.analyzer.controller,CommitsAnalysisControllerTest,testGetTrendAnalysis,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
code-quality-analyzer-backend,code.quality.analyzer.controller,CommitsAnalysisControllerTest,testGetOneCommitAnalysisForRemoteBranch,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
code-quality-analyzer-backend,code.quality.analyzer.controller,CommitsAnalysisControllerTest,testGetTrendAnalysisForRemoteBranch,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
code-quality-analyzer-backend,code.quality.analyzer.controller,CommitsAnalysisControllerTest,testGetHotspotAnalysis,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
code-quality-analyzer-backend,code.quality.analyzer,CodeQualityAnalyzerBackendApplicationTests,main,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,testGenerateOneCommitReport,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,testGenerateOneCommitReportForRemoteBranch,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,testGenerateOneCommitReportException,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,testCallAnalysisServiceOneCommit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,testGenerateTrendAnalysisReport,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,testGenerateTrendAnalysisReportForRemoteBranch,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,testGenerateTrendAnalysisReportForAllCommits,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,testCallAnalysisServiceTrend,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,testGenerateHotspotReport,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,testCallAnalysisServiceHotspot,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
code-quality-analyzer-backend,code.quality.analyzer.util,CommitsAnalysisUtilTest,testGetCommitIdsForOneCommitAndHotspot,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
code-quality-analyzer-backend,code.quality.analyzer.util,CommitsAnalysisUtilTest,testGetCommitIdsOneCommitExceptionAndHotspot,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
code-quality-analyzer-backend,code.quality.analyzer.util,CommitsAnalysisUtilTest,testGenerateReportsForOneCommitAndHotspot,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
code-quality-analyzer-backend,code.quality.analyzer.util,CommitsAnalysisUtilTest,testGenerateReportsForException,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
code-quality-analyzer-backend,code.quality.analyzer.util,CommitsAnalysisUtilTest,testGenerateReportsForTrend,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
