Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
code-quality-analyzer-backend,code.quality.analyzer.controller,CommitsAnalysisControllerTest,4,0,7,1,51,7,0,0,0.0,0,5,/builds/courses/2023-fall/csci-5308/Group03/code-quality-analyzer-backend/src/test/java/code/quality/analyzer/controller/CommitsAnalysisControllerTest.java,32
code-quality-analyzer-backend,code.quality.analyzer.controller,CommitsAnalysisController,1,0,3,0,21,3,0,0,0.0,1,3,/builds/courses/2023-fall/csci-5308/Group03/code-quality-analyzer-backend/src/main/java/code/quality/analyzer/controller/CommitsAnalysisController.java,15
code-quality-analyzer-backend,code.quality.analyzer,CodeQualityAnalyzerBackendApplicationTests,0,0,1,0,5,1,0,0,-1.0,0,1,/builds/courses/2023-fall/csci-5308/Group03/code-quality-analyzer-backend/src/test/java/code/quality/analyzer/CodeQualityAnalyzerBackendApplicationTests.java,6
code-quality-analyzer-backend,code.quality.analyzer,CodeQualityAnalyzerBackendApplication,0,0,1,1,5,1,0,0,-1.0,1,0,/builds/courses/2023-fall/csci-5308/Group03/code-quality-analyzer-backend/src/main/java/code/quality/analyzer/CodeQualityAnalyzerBackendApplication.java,8
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImplTest,7,0,12,0,98,12,0,0,0.0,0,5,/builds/courses/2023-fall/csci-5308/Group03/code-quality-analyzer-backend/src/test/java/code/quality/analyzer/service/CommitsAnalysisServiceImplTest.java,35
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisServiceImpl,5,0,7,7,81,10,0,1,0.0,2,6,/builds/courses/2023-fall/csci-5308/Group03/code-quality-analyzer-backend/src/main/java/code/quality/analyzer/service/CommitsAnalysisServiceImpl.java,25
code-quality-analyzer-backend,code.quality.analyzer.service,CommitsAnalysisService,0,0,7,0,52,7,1,0,-1.0,3,1,/builds/courses/2023-fall/csci-5308/Group03/code-quality-analyzer-backend/src/main/java/code/quality/analyzer/service/CommitsAnalysisService.java,5
code-quality-analyzer-backend,code.quality.analyzer.util,GitRepositoryTest,2,0,4,0,32,4,0,0,0.0,0,2,/builds/courses/2023-fall/csci-5308/Group03/code-quality-analyzer-backend/src/test/java/code/quality/analyzer/util/GitRepositoryTest.java,15
code-quality-analyzer-backend,code.quality.analyzer.util,CommitsAnalysisUtilTest,3,0,7,0,60,8,0,0,0.0,0,4,/builds/courses/2023-fall/csci-5308/Group03/code-quality-analyzer-backend/src/test/java/code/quality/analyzer/util/CommitsAnalysisUtilTest.java,26
code-quality-analyzer-backend,code.quality.analyzer.util,GitRepository,3,0,3,3,49,4,0,0,0.0,2,0,/builds/courses/2023-fall/csci-5308/Group03/code-quality-analyzer-backend/src/main/java/code/quality/analyzer/util/GitRepository.java,8
code-quality-analyzer-backend,code.quality.analyzer.util,CommitsAnalysisUtil,1,0,3,3,66,8,0,0,0.0,2,1,/builds/courses/2023-fall/csci-5308/Group03/code-quality-analyzer-backend/src/main/java/code/quality/analyzer/util/CommitsAnalysisUtil.java,17
code-quality-analyzer-backend,code.quality.analyzer.util,Constants,29,29,0,0,31,0,0,0,-1.0,6,0,/builds/courses/2023-fall/csci-5308/Group03/code-quality-analyzer-backend/src/main/java/code/quality/analyzer/util/Constants.java,3
code-quality-analyzer-backend,code.quality.analyzer.model,OneCommitAnalysisRequest,0,0,0,0,5,0,0,1,-1.0,1,0,/builds/courses/2023-fall/csci-5308/Group03/code-quality-analyzer-backend/src/main/java/code/quality/analyzer/model/OneCommitAnalysisRequest.java,3
code-quality-analyzer-backend,code.quality.analyzer.model,HotspotAnalysisRequest,0,0,0,0,5,0,0,1,-1.0,1,0,/builds/courses/2023-fall/csci-5308/Group03/code-quality-analyzer-backend/src/main/java/code/quality/analyzer/model/HotspotAnalysisRequest.java,3
code-quality-analyzer-backend,code.quality.analyzer.model,AnalysisServiceRequest,1,0,2,2,12,2,3,0,0.0,0,0,/builds/courses/2023-fall/csci-5308/Group03/code-quality-analyzer-backend/src/main/java/code/quality/analyzer/model/AnalysisServiceRequest.java,3
code-quality-analyzer-backend,code.quality.analyzer.model,TrendAnalysisRequest,2,0,4,4,19,4,0,1,0.5,5,0,/builds/courses/2023-fall/csci-5308/Group03/code-quality-analyzer-backend/src/main/java/code/quality/analyzer/model/TrendAnalysisRequest.java,5
code-quality-analyzer-backend,code.quality.analyzer.model,CommitAnalysisRequest,4,0,8,8,30,8,0,0,0.5,2,0,/builds/courses/2023-fall/csci-5308/Group03/code-quality-analyzer-backend/src/main/java/code/quality/analyzer/model/CommitAnalysisRequest.java,3
code-quality-analyzer-backend,code.quality.analyzer.exception,CommitsAnalysisExceptionHandler,0,0,3,3,11,3,0,0,-1.0,0,0,/builds/courses/2023-fall/csci-5308/Group03/code-quality-analyzer-backend/src/main/java/code/quality/analyzer/exception/CommitsAnalysisExceptionHandler.java,17
code-quality-analyzer-backend,code.quality.analyzer.exception,InvalidCommitsException,1,0,2,2,11,2,0,0,1.0,2,0,/builds/courses/2023-fall/csci-5308/Group03/code-quality-analyzer-backend/src/main/java/code/quality/analyzer/exception/InvalidCommitsException.java,3
